case_id,dim_x,dim_y,dim_z,spacing_x_mm,spacing_y_mm,spacing_z_mm
case_061_0000,512,512,48,0.4882810115814209,0.4882810115814209,0.5
case_023_0000,512,512,38,0.4882810115814209,0.4882810115814209,2.5
case_079_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.5
case_009_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.500001907348633
case_117_0000,512,512,36,0.4882810115814209,0.4882810115814209,2.531163215637207
case_094_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.546999931335449
case_044_0000,512,512,36,0.4882810115814209,0.4882810115814209,2.5509986877441406
case_166_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.571000099182129
case_131_0000,512,512,38,0.4882810115814209,0.4882810115814209,2.5765380859375
case_069_0000,512,512,60,0.4882810115814209,0.4882810115814209,2.5830001831054688
case_043_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.6069984436035156
case_042_0000,512,512,36,0.4882810115814209,0.4882810115814209,2.607372283935547
case_116_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.6139984130859375
case_160_0000,512,512,38,0.4882810115814209,0.4882810115814209,2.63623046875
case_148_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.6599998474121094
case_089_0000,512,512,36,0.4882810115814209,0.4882810115814209,2.6869964599609375
case_188_0000,512,512,36,0.4882810115814209,0.4882810115814209,2.6959991455078125
case_101_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.6963348388671875
case_066_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.696338653564453
case_090_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.706000328063965
case_171_0000,512,512,40,0.4882810115814209,0.4882810115814209,2.7939987182617188
case_049_0000,512,512,32,0.4947509765625,0.4947509765625,5.0
case_063_0000,512,512,34,0.4948999881744385,0.4948999881744385,5.0
case_004_0000,512,512,31,0.48828125,0.48828125,5.0
case_022_0000,512,512,32,0.412109375,0.412109375,5.0
case_026_0000,512,512,42,0.4947509765625,0.4947509765625,5.0
case_052_0000,512,512,30,0.48828125,0.48828125,5.0
case_051_0000,512,512,38,0.4947509765625,0.4947509765625,5.0
case_056_0000,512,512,32,0.4947509765625,0.4947509765625,5.0
case_055_0000,512,512,46,0.4947509765625,0.4947509765625,5.0
case_057_0000,512,512,36,0.431640625,0.431640625,5.0
case_012_0000,512,512,35,0.427734375,0.427734375,5.0
case_070_0000,512,512,46,0.4947509765625,0.4947509765625,5.0
case_071_0000,512,512,39,0.48828125,0.48828125,5.0
case_080_0000,512,512,28,0.4882810115814209,0.4882810115814209,5.0
case_077_0000,512,512,30,0.423828125,0.423828125,5.0
case_104_0000,512,512,30,0.42578125,0.42578125,5.0
case_109_0000,512,512,35,0.48828125,0.48828125,5.0
case_067_0000,512,512,34,0.4947509765625,0.4947509765625,5.0
case_097_0000,512,512,40,0.4947509765625,0.4947509765625,5.0
case_114_0000,512,512,32,0.49486300349235535,0.49486300349235535,5.0
case_119_0000,512,512,44,0.4947509765625,0.4947509765625,5.0
case_123_0000,512,512,35,0.48828125,0.48828125,5.0
case_128_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.0
case_112_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.0
case_111_0000,512,512,46,0.4947509765625,0.4947509765625,5.0
case_100_0000,512,512,32,0.42773398756980896,0.42773398756980896,5.0
case_099_0000,512,512,36,0.4882810115814209,0.4882810115814209,5.0
case_033_0000,512,512,37,0.431640625,0.431640625,5.0
case_047_0000,512,512,34,0.447265625,0.447265625,5.0
case_034_0000,512,512,34,0.4375,0.4375,5.0
case_041_0000,512,512,30,0.49486300349235535,0.49486300349235535,5.0
case_093_0000,512,512,32,0.48828125,0.48828125,5.0
case_096_0000,512,512,36,0.49486300349235535,0.49486300349235535,5.0
case_092_0000,512,512,34,0.49486300349235535,0.49486300349235535,5.0
case_054_0000,512,512,34,0.49486300349235535,0.49486300349235535,5.0
case_064_0000,512,512,34,0.49486300349235535,0.49486300349235535,5.0
case_059_0000,512,512,32,0.48828125,0.48828125,5.0
case_028_0000,512,512,32,0.408203125,0.408203125,5.0
case_027_0000,512,512,30,0.4948999881744385,0.4948999881744385,5.0
case_016_0000,512,512,36,0.48828125,0.48828125,5.0
case_021_0000,512,512,38,0.4948999881744385,0.4948999881744385,5.0
case_020_0000,512,512,34,0.4882810115814209,0.4882810115814209,5.0
case_005_0000,512,512,32,0.390625,0.390625,5.0
case_138_0000,512,512,32,0.4947509765625,0.4947509765625,5.0
case_139_0000,512,512,32,0.4882810115814209,0.4882810115814209,5.0
case_147_0000,512,512,33,0.48828125,0.48828125,5.0
