array_name,array_index,model,fold,model_seed,trainer,configuration,estimated_walltime,estimated_storage,data_seed,epochs,iterations_per_epoch,val_iterations_per_epoch,optimizer,scheduler,scheduler_horizon,early_stopping,primary_checkpoint,sensitivity_checkpoint,result_namespace
fixed1000_core_multiclass_15,0,2D,0,3407,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,1,2D,1,3407,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,2,2D,2,3407,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,3,2D,3,3407,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,4,2D,4,3407,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_BHSDFixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,5,A0,0,3407,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,6,A0,1,3407,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,7,A0,2,3407,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,8,A0,3,3407,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
fixed1000_core_multiclass_15,9,A0,4,3407,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407,2d,48:00:00,9GB,1003410,1000,250,50,"SGD(lr=0.01,momentum=0.99,nesterov=true,weight_decay=3e-5)",PolyLR(exponent=0.9),1000,disabled,checkpoint_final.pth,checkpoint_best.pth,nnUNetTrainer_25D_A0Fixed1000NoEarlyStoppingFinalCheckpointPrimarySeed3407__nnUNetPlans__2d
