experiment_family,folds,cases_per_fold,split_source,split_hash,same_case_split_verified,model_seed_status,data_seed_status,augmentation_worker_status,determinism_status,paired_interpretation,conclusion,evidence
multiclass_2D_3D,0-4,39 or 38,Dataset001 splits_final.json,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,nominal config seed not recorded in child debug,not separately controlled,4-worker seeds not fixed,not bitwise controlled,no,Valid five-fold pipeline benchmark but not a seed-paired dimensionality experiment.,baseline debug.json; configs/baseline_2d.yaml; configs/baseline_3d.yaml
binary_2D_3D,0-4,39 or 38,Dataset001 split copied to Dataset002 and verified by summary IDs,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,nominal config seed not recorded in child debug,not separately controlled,4-worker seeds not fixed,not bitwise controlled,no,Valid binary pipeline benchmark only.,hpc/gadi/prepare_binary_dataset.pbs lines64-86; binary summaries
multiclass_and_binary_A0,0,39,locked split file,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,seed 3407 set only in historical parent runner,not controlled,NonDetMultiThreadedAugmenter seeds=None with n_proc_DA=4,not controlled,no,Fold0 exploratory baseline; not a clean neighbour effect.,A0 debug.json; legacy commit 3c2c38b; configs/baseline_25d_3slide*.yaml
A1_A8,0,39,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,seed remained in parent at commit1167efe,not controlled,workers seeds=None with n_proc_DA=4,not controlled,no,Historical candidate screen only.,commit1167efe; docs/ATTENTION_MODULE_SCREEN.md
C0_C3_F1_F2,0,39,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,child seed3407 applied before initialization,no separate reset at historical commit,single-thread n_proc_DA=0,best-effort deterministic warn_only,partial,Controlled screen but parameter-count differences may shift the post-init random stream.,commit fcdda534; fusion logs
D0_D6,0,39,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,child model seed3407,child data seed1003410 and epoch-indexed,single-thread n_proc_DA=0,best-effort deterministic warn_only,yes within explicitly capacity-matched subsets,Strong controlled fold0 ablation; still not multi-fold evidence.,commit4fa9572; D debug/logs
E0_E2_seed3407,0,39,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,child model seed3407,child data seed1003410 and epoch-indexed,single-thread n_proc_DA=0,best-effort deterministic warn_only,yes,E-series mechanism comparison is paired on fold0 but cannot test neighbour versus center-only.,E debug/logs; docs/SYMMETRIC_RELIABILITY_SCREEN.md
E0_E2_multiseed,0,39,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,paired model seeds3407 1234 5678,fixed data seed1003410,single-thread n_proc_DA=0,best-effort deterministic warn_only,yes across arms within seed,Initialization stability evidence only; three seeds are not three patient cohorts.,oracle report; controlled_multiseed backup
controlled_axial_multiseed,0,39,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,yes,model seeds3407 1234 5678,fixed data seed1003410,single-thread n_proc_DA=0,best-effort deterministic warn_only,yes within axial seeds but not capacity-matched to E,Performance comparator only and unstable across seeds.,controlled_multiseed backup; verify_axial_multiseed_design.py
Stage3_B_R0_R1_planned,1 development then2-4 confirmation,39/38,locked Dataset001 split,A7F3088C3195273FEFFAA06A99E9A8F2C62F6AEB0AC5DC97A8498D1D5C55BEEA,must be asserted before run,paired residual seeds3407 1234 5678 on fold1 then3407 on folds2-4,fixed1003410 with epoch-indexed streams,must be single-thread,must log deterministic warnings,required exact R0/R1 pairing,Not ready until implementation and tests prove propagation and exact R0 input after augmentation.,stage3_preregistered_protocol.md; stage3_required_tests.md
