mask_type,seed,model,lesion_group,n_cases,mean_dice,sample_sd_dice,mean_hd95_mm_defined,hd95_defined_cases,complete_miss_cases,mean_fp_volume_ml,mean_recall,notes
hard_union,3407,E0,small_lt1ml,4,0.24538863830311528,0.25742983499621785,81.3502790086952,4,0,3.546111411729392,0.5346590909090909,pre-existing whole-case volume thresholds; descriptive
hard_union,3407,E0,medium_1to10ml,12,0.5259803047409719,0.23736931851310505,51.886695706216564,12,0,2.197735911653921,0.5259017794917079,pre-existing whole-case volume thresholds; descriptive
hard_union,3407,E0,large_ge10ml,23,0.7743123182277113,0.15663643782002754,9.934610741972136,23,0,7.672212900505943,0.7573570906307693,pre-existing whole-case volume thresholds; descriptive
hard_union,3407,E2,small_lt1ml,4,0.13740519903043447,0.13177069549700507,95.67160321297644,4,0,4.551728304927002,0.5439094896331739,pre-existing whole-case volume thresholds; descriptive
hard_union,3407,E2,medium_1to10ml,12,0.541470457933087,0.21741185272722868,55.59548366616457,12,0,1.5407388942170872,0.5009790319054626,pre-existing whole-case volume thresholds; descriptive
hard_union,3407,E2,large_ge10ml,23,0.7524274784470728,0.17435011273945594,12.037962828786254,23,0,6.375275098487571,0.7208784866007276,pre-existing whole-case volume thresholds; descriptive
hard_union,1234,E0,small_lt1ml,4,0.2809862071215183,0.25931323057863853,90.16254443665157,4,0,1.7839737827708637,0.4507874800637959,pre-existing whole-case volume thresholds; descriptive
hard_union,1234,E0,medium_1to10ml,12,0.5167977371308832,0.2915714080877389,40.18822178969298,12,0,1.1687846988959198,0.4756793618697297,pre-existing whole-case volume thresholds; descriptive
hard_union,1234,E0,large_ge10ml,23,0.7689374568199752,0.16020472819207804,11.504730950023594,23,0,5.906406521663911,0.7320257689745324,pre-existing whole-case volume thresholds; descriptive
hard_union,1234,E2,small_lt1ml,4,0.18488217933642295,0.1778386295016096,103.30173455316901,4,0,4.238074425655375,0.54789673046252,pre-existing whole-case volume thresholds; descriptive
hard_union,1234,E2,medium_1to10ml,12,0.5339684406130164,0.2040704924089598,63.22547719946534,12,0,2.2073229211821914,0.555387210582833,pre-existing whole-case volume thresholds; descriptive
hard_union,1234,E2,large_ge10ml,23,0.7533858487744453,0.17491709883685372,13.279992648053932,23,0,7.916202655183604,0.7417579402006327,pre-existing whole-case volume thresholds; descriptive
hard_union,5678,E0,small_lt1ml,4,0.17571618721204477,0.18212219825890738,96.43582853297282,4,0,3.791683930111123,0.5598584529505582,pre-existing whole-case volume thresholds; descriptive
hard_union,5678,E0,medium_1to10ml,12,0.5665441249624917,0.16594888162299976,67.41136982518454,12,0,2.0865626513420525,0.5812949945637048,pre-existing whole-case volume thresholds; descriptive
hard_union,5678,E0,large_ge10ml,23,0.7608317018725647,0.16460686575716024,10.874790466812351,23,0,8.232334580323625,0.755178007750421,pre-existing whole-case volume thresholds; descriptive
hard_union,5678,E2,small_lt1ml,4,0.19056280040958856,0.17293994307038402,72.31648130098431,4,0,3.5172501741015116,0.5620414673046252,pre-existing whole-case volume thresholds; descriptive
hard_union,5678,E2,medium_1to10ml,12,0.5773844274229764,0.1796825403593255,63.173345508964616,12,0,2.0733140605089253,0.5769393039192562,pre-existing whole-case volume thresholds; descriptive
hard_union,5678,E2,large_ge10ml,23,0.7570910205743404,0.17122610328353746,12.83116084877926,23,0,8.077893558726743,0.7533730141751395,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,3407,E0,small_lt1ml,4,0.245327561854194,0.2574815434094633,81.34761467259115,4,0,3.5571314343795386,0.5346590909090909,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,3407,E0,medium_1to10ml,12,0.5257639759623649,0.23772765700825269,51.91274672712611,12,0,2.2515262864458285,0.5281583262597065,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,3407,E0,large_ge10ml,23,0.7755237946220211,0.15663533943235936,9.946462305490394,23,0,7.745367029302005,0.7602435596602714,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,3407,E2,small_lt1ml,4,0.13677300990447355,0.1307859698616125,95.67209471006376,4,0,4.555701294785772,0.5439094896331739,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,3407,E2,medium_1to10ml,12,0.5432069424247167,0.2174334950125662,55.60067065915553,12,0,1.556685449088756,0.5039987149206793,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,3407,E2,large_ge10ml,23,0.7544466458640007,0.17431938084047488,12.043978379833591,23,0,6.431604192808654,0.7244888663480757,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,1234,E0,small_lt1ml,4,0.283491676811884,0.26419651996828236,90.21041588599351,4,0,1.7876252543228721,0.45703748006379585,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,1234,E0,medium_1to10ml,12,0.5187141850669917,0.2900315945246028,40.19388130362214,12,0,1.1900588144650246,0.4789295038605457,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,1234,E0,large_ge10ml,23,0.7704206429379675,0.1597354882589573,11.463682091636276,23,0,5.976617808568926,0.7351530892418575,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,1234,E2,small_lt1ml,4,0.18364488352150204,0.17700570441116636,103.33645146214835,4,0,4.251896247649045,0.54789673046252,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,1234,E2,medium_1to10ml,12,0.5367111856935868,0.20198342441305023,63.29485820692787,12,0,2.2489211731377443,0.5604549315975574,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,1234,E2,large_ge10ml,23,0.7550329077925021,0.17460730904448762,13.429785379300073,23,0,8.008437863977198,0.7454384621780423,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,5678,E0,small_lt1ml,4,0.17532801205366969,0.1816308086714078,96.43864821454275,4,0,3.8019412878407737,0.5598584529505582,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,5678,E0,medium_1to10ml,12,0.5680691694299681,0.16504345056361794,67.41068743296256,12,0,2.114575987961245,0.5853843002750124,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,5678,E0,large_ge10ml,23,0.7615752138948516,0.1648698012325542,10.888155328209626,23,0,8.303485808246338,0.7573097080024968,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,5678,E2,small_lt1ml,4,0.18943317828582673,0.17183877776048426,72.31936548541073,4,0,3.5471235026169476,0.5620414673046252,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,5678,E2,medium_1to10ml,12,0.5794355666375969,0.17888148374946924,63.28093960996059,12,0,2.142423880381606,0.5827339414877878,pre-existing whole-case volume thresholds; descriptive
soft_union_p0p5,5678,E2,large_ge10ml,23,0.7578463840761563,0.17114733474560148,12.595840220032079,23,0,8.235600406816395,0.7566754450144816,pre-existing whole-case volume thresholds; descriptive
