seed,class,class_name,n,e0_present_dice,e2_present_dice,max_single_present_dice,oracle_present_dice,oracle_headroom,choice_e0_count,choice_e2_count,tie_count
3407,1,EDH,6,0.46941982437608365,0.36016720601322727,0.46941982437608365,0.48994993485887806,0.020530110482794406,4,2,0
3407,2,IPH,27,0.6588026659932509,0.6505965330552587,0.6588026659932509,0.6960838625086384,0.03728119651538753,15,12,2
3407,3,IVH,19,0.6441617563117379,0.5822252433313511,0.6441617563117379,0.6742764867784619,0.03011473046672397,9,10,0
3407,4,SAH,18,0.29927859593240197,0.2888808190575858,0.29927859593240197,0.3314011533318144,0.032122557399412444,11,7,3
3407,5,SDH,12,0.3395827521058143,0.3787678004819925,0.3787678004819925,0.4104444103845506,0.031676609902558106,6,6,2
1234,1,EDH,6,0.34010159266442325,0.5865011422217873,0.5865011422217873,0.593659472503645,0.00715833028185775,1,5,0
1234,2,IPH,27,0.6971263416384917,0.6755423976800794,0.6971263416384917,0.7152200595429877,0.018093717904495987,15,12,1
1234,3,IVH,19,0.6326537558442135,0.6409075170642545,0.6409075170642545,0.6936034323232851,0.05269591525903061,10,9,0
1234,4,SAH,18,0.22442737520576397,0.2948606168652359,0.2948606168652359,0.3201267070240214,0.025266090158785504,8,10,3
1234,5,SDH,12,0.3635882136642257,0.31638579616549495,0.3635882136642257,0.3995914569731182,0.036003243308892485,6,6,2
5678,1,EDH,6,0.47072701128087857,0.5727058345584828,0.5727058345584828,0.5841046018094324,0.01139876725094957,2,4,0
5678,2,IPH,27,0.6714424683437478,0.7031516259627728,0.7031516259627728,0.7286877795143587,0.025536153551585894,10,17,1
5678,3,IVH,19,0.6541002318433286,0.6398363577551073,0.6541002318433286,0.693064256788776,0.038964024945447484,10,9,0
5678,4,SAH,18,0.3044772864947809,0.27567761872852764,0.3044772864947809,0.3258628667379282,0.021385580243147295,13,5,4
5678,5,SDH,12,0.3519917624168114,0.3452533873044749,0.3519917624168114,0.3711082585376675,0.019116496120856086,7,5,2
