family,scope,metric,comparison,n,value,notes
patient_class_delta,all,raw_sign_pattern_count,+++,82,9,
patient_class_delta,all,raw_sign_pattern_count,++-,82,7,
patient_class_delta,all,raw_sign_pattern_count,+-+,82,10,
patient_class_delta,all,raw_sign_pattern_count,+--,82,10,
patient_class_delta,all,raw_sign_pattern_count,+00,82,1,
patient_class_delta,all,raw_sign_pattern_count,-++,82,11,
patient_class_delta,all,raw_sign_pattern_count,-+-,82,14,
patient_class_delta,all,raw_sign_pattern_count,--+,82,9,
patient_class_delta,all,raw_sign_pattern_count,---,82,4,
patient_class_delta,all,raw_sign_pattern_count,0++,82,1,
patient_class_delta,all,raw_sign_pattern_count,0-0,82,1,
patient_class_delta,all,raw_sign_pattern_count,000,82,5,
patient_class_delta,all,practical_sign_pattern_count,+++,82,5,
patient_class_delta,all,practical_sign_pattern_count,++-,82,5,
patient_class_delta,all,practical_sign_pattern_count,++0,82,2,
patient_class_delta,all,practical_sign_pattern_count,+-+,82,5,
patient_class_delta,all,practical_sign_pattern_count,+--,82,3,
patient_class_delta,all,practical_sign_pattern_count,+-0,82,5,
patient_class_delta,all,practical_sign_pattern_count,+0+,82,1,
patient_class_delta,all,practical_sign_pattern_count,+0-,82,2,
patient_class_delta,all,practical_sign_pattern_count,+00,82,3,
patient_class_delta,all,practical_sign_pattern_count,-++,82,6,
patient_class_delta,all,practical_sign_pattern_count,-+-,82,12,
patient_class_delta,all,practical_sign_pattern_count,-+0,82,2,
patient_class_delta,all,practical_sign_pattern_count,--+,82,5,
patient_class_delta,all,practical_sign_pattern_count,---,82,4,
patient_class_delta,all,practical_sign_pattern_count,--0,82,1,
patient_class_delta,all,practical_sign_pattern_count,-0+,82,1,
patient_class_delta,all,practical_sign_pattern_count,-00,82,2,
patient_class_delta,all,practical_sign_pattern_count,0++,82,3,
patient_class_delta,all,practical_sign_pattern_count,0+-,82,1,
patient_class_delta,all,practical_sign_pattern_count,0+0,82,2,
patient_class_delta,all,practical_sign_pattern_count,0-+,82,3,
patient_class_delta,all,practical_sign_pattern_count,0--,82,2,
patient_class_delta,all,practical_sign_pattern_count,0-0,82,1,
patient_class_delta,all,practical_sign_pattern_count,000,82,6,
patient_class_delta,all,unanimous_raw_nonzero_proportion,3_seeds,82,0.15853658536585366,
patient_class_delta,all,unanimous_practical_nonzero_proportion,3_seeds,82,0.10975609756097561,
patient_class_delta,strong_effect_pairs,unanimous_practical_nonzero_proportion,3_seeds,76,0.11842105263157894,
patient_class_delta,all,spearman_rho,3407_vs_1234,82,-0.2954739744146941,
patient_class_delta,all,practical_sign_agreement,3407_vs_1234,82,0.34146341463414637,
patient_class_delta,all,spearman_rho,3407_vs_5678,82,0.008439967329158726,
patient_class_delta,all,practical_sign_agreement,3407_vs_5678,82,0.43902439024390244,
patient_class_delta,all,spearman_rho,1234_vs_5678,82,-0.20200249490941552,
patient_class_delta,all,practical_sign_agreement,1234_vs_5678,82,0.4146341463414634,
patient_class_delta,EDH,unanimous_practical_nonzero_proportion,3_seeds,6,0.16666666666666666,
patient_class_delta,IPH,unanimous_practical_nonzero_proportion,3_seeds,27,0.1111111111111111,
patient_class_delta,IVH,unanimous_practical_nonzero_proportion,3_seeds,19,0.21052631578947367,
patient_class_delta,SAH,unanimous_practical_nonzero_proportion,3_seeds,18,0.05555555555555555,
patient_class_delta,SDH,unanimous_practical_nonzero_proportion,3_seeds,12,0.0,
patient_class_delta,small_lt1ml,mean_3seed_delta_descriptive,E2_minus_E0,5,-0.005261719547660667,pre-existing whole-case lesion-volume thresholds; descriptive and excluded from decision
patient_class_delta,medium_1to10ml,mean_3seed_delta_descriptive,E2_minus_E0,23,-0.005580313374112291,pre-existing whole-case lesion-volume thresholds; descriptive and excluded from decision
patient_class_delta,large_ge10ml,mean_3seed_delta_descriptive,E2_minus_E0,54,0.006448929918283223,pre-existing whole-case lesion-volume thresholds; descriptive and excluded from decision
absent_fp,all,unanimous_four_state_proportion,3_seeds,113,0.36283185840707965,
absent_fp,any_fp,resolved_set_jaccard,3407_vs_1234,113,0.0,
absent_fp,any_fp,resolved_set_jaccard,3407_vs_5678,113,0.041666666666666664,
absent_fp,any_fp,resolved_set_jaccard,1234_vs_5678,113,0.07692307692307693,
absent_fp,any_fp,introduced_set_jaccard,3407_vs_1234,113,0.05263157894736842,
absent_fp,any_fp,introduced_set_jaccard,3407_vs_5678,113,0.07142857142857142,
absent_fp,any_fp,introduced_set_jaccard,1234_vs_5678,113,0.1836734693877551,
absent_fp,fp_gt_0p1ml,resolved_set_jaccard,3407_vs_1234,113,0.0,
absent_fp,fp_gt_0p1ml,resolved_set_jaccard,3407_vs_5678,113,0.09523809523809523,
absent_fp,fp_gt_0p1ml,resolved_set_jaccard,1234_vs_5678,113,0.0,
absent_fp,fp_gt_0p1ml,introduced_set_jaccard,3407_vs_1234,113,0.1388888888888889,
absent_fp,fp_gt_0p1ml,introduced_set_jaccard,3407_vs_5678,113,0.15789473684210525,
absent_fp,fp_gt_0p1ml,introduced_set_jaccard,1234_vs_5678,113,0.08823529411764706,
leave_one_seed_out_selector,3407,gain_vs_max_single,selector,82,-0.039719337761289886,same patients' GT in other model seeds; not unseen-patient generalization
leave_one_seed_out_selector,1234,gain_vs_max_single,selector,82,-0.048226503020672384,same patients' GT in other model seeds; not unseen-patient generalization
leave_one_seed_out_selector,5678,gain_vs_max_single,selector,82,-0.007268380349129799,same patients' GT in other model seeds; not unseen-patient generalization
