seed,model,metric,class,class_name,n,value
3407,E0,per_class_present_dice,1,EDH,6,0.46941982437608365
3407,E0,per_class_present_dice,2,IPH,27,0.6588026659932509
3407,E0,per_class_present_dice,3,IVH,19,0.6441617563117379
3407,E0,per_class_present_dice,4,SAH,18,0.29927859593240197
3407,E0,per_class_present_dice,5,SDH,12,0.3395827521058143
3407,E0,class_balanced_present_macro,all,all,82,0.4822491189438577
3407,E0,pooled_present_patient_class_dice,all,all,82,0.5159179518298816
3407,E2,per_class_present_dice,1,EDH,6,0.36016720601322727
3407,E2,per_class_present_dice,2,IPH,27,0.6505965330552587
3407,E2,per_class_present_dice,3,IVH,19,0.5822252433313511
3407,E2,per_class_present_dice,4,SAH,18,0.2888808190575858
3407,E2,per_class_present_dice,5,SDH,12,0.3787678004819925
3407,E2,class_balanced_present_macro,all,all,82,0.45212752038788306
3407,E2,pooled_present_patient_class_dice,all,all,82,0.4943226536669204
1234,E0,per_class_present_dice,1,EDH,6,0.34010159266442325
1234,E0,per_class_present_dice,2,IPH,27,0.6971263416384917
1234,E0,per_class_present_dice,3,IVH,19,0.6326537558442135
1234,E0,per_class_present_dice,4,SAH,18,0.22442737520576397
1234,E0,per_class_present_dice,5,SDH,12,0.3635882136642257
1234,E0,class_balanced_present_macro,all,all,82,0.4515794558034236
1234,E0,pooled_present_patient_class_dice,all,all,82,0.5034901641334186
1234,E2,per_class_present_dice,1,EDH,6,0.5865011422217873
1234,E2,per_class_present_dice,2,IPH,27,0.6755423976800794
1234,E2,per_class_present_dice,3,IVH,19,0.6409075170642545
1234,E2,per_class_present_dice,4,SAH,18,0.2948606168652359
1234,E2,per_class_present_dice,5,SDH,12,0.31638579616549495
1234,E2,class_balanced_present_macro,all,all,82,0.5028394939993703
1234,E2,pooled_present_patient_class_dice,all,all,82,0.524878232591145
5678,E0,per_class_present_dice,1,EDH,6,0.47072701128087857
5678,E0,per_class_present_dice,2,IPH,27,0.6714424683437478
5678,E0,per_class_present_dice,3,IVH,19,0.6541002318433286
5678,E0,per_class_present_dice,4,SAH,18,0.3044772864947809
5678,E0,per_class_present_dice,5,SDH,12,0.3519917624168114
5678,E0,class_balanced_present_macro,all,all,82,0.4905477520759094
5678,E0,pooled_present_patient_class_dice,all,all,82,0.52543543199875
5678,E2,per_class_present_dice,1,EDH,6,0.5727058345584828
5678,E2,per_class_present_dice,2,IPH,27,0.7031516259627728
5678,E2,per_class_present_dice,3,IVH,19,0.6398363577551073
5678,E2,per_class_present_dice,4,SAH,18,0.27567761872852764
5678,E2,per_class_present_dice,5,SDH,12,0.3452533873044749
5678,E2,class_balanced_present_macro,all,all,82,0.5073249648618731
5678,E2,pooled_present_patient_class_dice,all,all,82,0.5327250913470731
